row_id,from_date,to_date,part_number,dealer_price,list_price,part_category,part_name,competition_brand,competition_name,competition_part_number
38,2013-01-01,2013-01-31,1L5Z1126BA,62.62,77.68,OE MOTORCRAFT ROTOR AND DRUM,DRUM - BRAKE,WD/JOBBER,ACDELCO,18B530
39,2013-07-01,2013-07-31,1L5Z1126BA,52.14,77.68,OE MOTORCRAFT ROTOR AND DRUM,DRUM - BRAKE,WD/JOBBER,ACDELCO,18B530
40,2013-08-01,2013-08-31,1L5Z1126BA,52.14,77.68,OE MOTORCRAFT ROTOR AND DRUM,DRUM - BRAKE,WD/JOBBER,ACDELCO,18B530
41,2013-09-01,2013-09-30,1L5Z1126BA,39.99,63.98,OE MOTORCRAFT ROTOR AND DRUM,DRUM - BRAKE,AUTOZONE,DURALAST,80097
42,2013-05-01,2013-05-31,1L5Z1126BA,92.37,139.96,OE MOTORCRAFT ROTOR AND DRUM,DRUM - BRAKE,WD/JOBBER,RAYBESTOS,9710R
43,2013-06-01,2013-06-30,1L5Z1126BA,73.35,127.99,OE MOTORCRAFT ROTOR AND DRUM,DRUM - BRAKE,WD/JOBBER,RAYBESTOS,9710R
44,2013-11-01,2013-11-30,1L5Z1126BA,82.37,124.80,OE MOTORCRAFT ROTOR AND DRUM,DRUM  BRAKE,WD/JOBBER,WAGNER,BD125729
45,2013-09-01,2013-09-30,1R3Z1104AA,46.99,75.18,HUB ASSEMBLIES,HUB ASY - WHEEL,AUTOZONE,DURALAST,DL513115
46,2013-06-01,2013-06-30,1R3Z1104AA,99.08,150.12,HUB ASSEMBLIES,HUB ASY - WHEEL,WD/JOBBER,NATIONAL,513115
47,2013-05-01,2013-05-31,1R3Z1104AA,56.97,86.31,HUB ASSEMBLIES,HUB ASY - WHEEL,WD/JOBBER,RAYBESTOS,713115
48,2013-06-01,2013-06-30,1R3Z1104AA,77.32,117.15,HUB ASSEMBLIES,HUB ASY - WHEEL,WD/JOBBER,RAYBESTOS,713115
49,2013-03-01,2013-03-31,1R3Z1104AA,101.99,196.13,HUB ASSEMBLIES,HUB ASY  WHEEL,WD/JOBBER,TIMKEN,513115
50,2013-05-01,2013-05-31,1R3Z1104B,56.97,86.31,HUB ASSEMBLIES,HUB ASY  WHEEL,WD/JOBBER,RAYBESTOS,713115
51,2013-06-01,2013-06-30,1R3Z1104B,77.32,117.15,HUB ASSEMBLIES,HUB ASY  WHEEL,WD/JOBBER,RAYBESTOS,713115
52,2013-03-01,2013-03-31,1R3Z1104B,101.99,196.13,HUB ASSEMBLIES,HUB ASY  WHEEL,WD/JOBBER,TIMKEN,513115
53,2013-08-01,2013-08-31,1R3Z1104B,72.28,109.51,HUB ASSEMBLIES,HUB ASY  WHEEL,WD/JOBBER,WAGNER,513115
54,2013-09-01,2013-09-30,1R3Z1104B,69.99,111.98,HUB ASSEMBLIES,HUB ASY - WHEEL,AUTOZONE,DURALAST,513115
55,2013-06-01,2013-06-30,1R3Z1104B,99.08,150.12,HUB ASSEMBLIES,HUB ASY - WHEEL,WD/JOBBER,NATIONAL,513115
56,2013-09-01,2013-09-30,1R3Z1104BA,69.99,111.98,HUB ASSEMBLIES,HUB ASY - WHEEL,AUTOZONE,DURALAST,513115
57,2013-03-01,2013-03-31,1R3Z1104BA,101.99,196.13,HUB ASSEMBLIES,HUB ASY  WHEEL,WD/JOBBER,TIMKEN,513115
58,2013-09-01,2013-09-30,1R3Z1104BB,46.99,75.18,HUB ASSEMBLIES,HUB ASY - WHEEL,AUTOZONE,DURALAST,DL513115
59,2013-03-01,2013-03-31,1R3Z1104BB,101.99,196.13,HUB ASSEMBLIES,HUB ASY  WHEEL,WD/JOBBER,TIMKEN,513115
60,2013-01-01,2013-01-31,1R8Z2C026AA,53.24,66.06,OE MOTORCRAFT ROTOR AND DRUM,ROTOR ASY - BRAKE,WD/JOBBER,ACDELCO,18A962
61,2013-07-01,2013-07-31,1R8Z2C026AA,44.33,66.06,OE MOTORCRAFT ROTOR AND DRUM,ROTOR ASY - BRAKE,WD/JOBBER,ACDELCO,18A962
62,2013-08-01,2013-08-31,1R8Z2C026AA,44.33,66.06,OE MOTORCRAFT ROTOR AND DRUM,ROTOR ASY - BRAKE,WD/JOBBER,ACDELCO,18A962
63,2013-09-01,2013-09-30,1R8Z2C026AA,23.10,43.99,OE MOTORCRAFT ROTOR AND DRUM,ROTOR ASY - BRAKE,WD/JOBBER,BENDIX,PRT5269
64,2013-09-01,2013-09-30,1R8Z2C026AA,23.99,38.38,OE MOTORCRAFT ROTOR AND DRUM,ROTOR ASY - BRAKE,AUTOZONE,DURALAST,54089
65,2013-05-01,2013-05-31,1R8Z2C026AA,47.43,71.86,OE MOTORCRAFT ROTOR AND DRUM,ROTOR ASY  BRAKE,WD/JOBBER,RAYBESTOS,66840R
66,2013-06-01,2013-06-30,1R8Z2C026AA,37.66,65.99,OE MOTORCRAFT ROTOR AND DRUM,ROTOR ASY  BRAKE,WD/JOBBER,RAYBESTOS,66840R
67,2013-11-01,2013-11-30,1R8Z2C026AA,31.25,47.35,OE MOTORCRAFT ROTOR AND DRUM,ROTOR ASY  BRAKE,WD/JOBBER,WAGNER,BD125724
68,2013-01-01,2013-01-31,1S4Z2C026BA,50.83,63.06,BRAKE DRUM ASSEMBLIES,ROTOR ASY - BRAKE,WD/JOBBER,ACDELCO,18A1210
69,2013-07-01,2013-07-31,1S4Z2C026BA,42.32,63.06,BRAKE DRUM ASSEMBLIES,ROTOR ASY - BRAKE,WD/JOBBER,ACDELCO,18A1210
70,2013-08-01,2013-08-31,1S4Z2C026BA,42.32,63.06,BRAKE DRUM ASSEMBLIES,ROTOR ASY - BRAKE,WD/JOBBER,ACDELCO,18A1210
71,2013-09-01,2013-09-30,1S4Z2C026BA,20.60,39.99,BRAKE DRUM ASSEMBLIES,ROTOR ASY - BRAKE,WD/JOBBER,BENDIX,PRT5312
72,2013-09-01,2013-09-30,1S4Z2C026BA,25.99,41.58,BRAKE DRUM ASSEMBLIES,ROTOR ASY - BRAKE,AUTOZONE,DURALAST,54095
73,2013-05-01,2013-05-31,1S4Z2C026BA,35.55,53.86,BRAKE DRUM ASSEMBLIES,ROTOR ASY  BRAKE,WD/JOBBER,RAYBESTOS,680035R
74,2013-06-01,2013-06-30,1S4Z2C026BA,28.22,48.99,BRAKE DRUM ASSEMBLIES,ROTOR ASY  BRAKE,WD/JOBBER,RAYBESTOS,680035R
75,2013-11-01,2013-11-30,1S4Z2C026BA,28.74,43.55,BRAKE DRUM ASSEMBLIES,ROTOR ASY  BRAKE,WD/JOBBER,WAGNER,BD126006
76,2013-01-01,2013-01-31,2C2Z1102BA,161.51,200.38,HUB ASSEMBLIES,HUB ASY - WHEEL,WD/JOBBER,ACDELCO,18A1194
77,2013-07-01,2013-07-31,2C2Z1102BA,134.48,200.38,HUB ASSEMBLIES,HUB ASY - WHEEL,WD/JOBBER,ACDELCO,18A1194
78,2013-08-01,2013-08-31,2C2Z1102BA,134.48,200.38,HUB ASSEMBLIES,HUB ASY - WHEEL,WD/JOBBER,ACDELCO,18A1194
79,2013-09-01,2013-09-30,2C2Z1102BA,49.99,79.98,HUB ASSEMBLIES,HUB ASY - WHEEL,AUTOZONE,DURALAST,54077
80,2013-06-01,2013-06-30,2C2Z1102BA,145.79,220.89,HUB ASSEMBLIES,HUB ASY - WHEEL,WD/JOBBER,NATIONAL,BD125714
81,2013-05-01,2013-05-31,2C2Z1102BA,141.93,215.04,HUB ASSEMBLIES,HUB ASY  WHEEL,WD/JOBBER,RAYBESTOS,66924R
82,2013-06-01,2013-06-30,2C2Z1102BA,115.37,195.99,HUB ASSEMBLIES,HUB ASY  WHEEL,WD/JOBBER,RAYBESTOS,66924R
83,2013-11-01,2013-11-30,2C2Z1102BA,107.92,163.52,HUB ASSEMBLIES,HUB ASY  WHEEL,WD/JOBBER,WAGNER,BD125714
84,2013-06-01,2013-06-30,2E3Z1126AA,45.43,68.84,BRAKE DRUM ASSEMBLIES,DRUM  BRAKE,WD/JOBBER,RAYBESTOS,799SG
85,2013-08-01,2013-08-31,2E3Z1126AA,45.61,69.11,BRAKE DRUM ASSEMBLIES,DRUM  BRAKE,WD/JOBBER,WAGNER,BD125692
86,2013-01-01,2013-01-31,2M5Z1125AA,97.74,121.26,BRAKE DRUM ASSEMBLIES,ROTOR ASY,WD/JOBBER,ACDELCO,18A1479
87,2013-07-01,2013-07-31,2M5Z1125AA,81.38,121.26,BRAKE DRUM ASSEMBLIES,ROTOR ASY,WD/JOBBER,ACDELCO,18A1479
88,2013-08-01,2013-08-31,2M5Z1125AA,81.38,121.26,BRAKE DRUM ASSEMBLIES,ROTOR ASY,WD/JOBBER,ACDELCO,18A1479
89,2013-09-01,2013-09-30,2M5Z1125AA,33.90,64.99,BRAKE DRUM ASSEMBLIES,ROTOR ASY,WD/JOBBER,BENDIX,PRT5652
90,2013-09-01,2013-09-30,2M5Z1125AA,48.99,78.38,BRAKE DRUM ASSEMBLIES,ROTOR ASY,AUTOZONE,DURALAST,54113
91,2013-05-01,2013-05-31,2M5Z1125AA,72.23,109.44,BRAKE DRUM ASSEMBLIES,ROTOR ASY,WD/JOBBER,RAYBESTOS,680130R
92,2013-06-01,2013-06-30,2M5Z1125AA,57.35,99.99,BRAKE DRUM ASSEMBLIES,ROTOR ASY,WD/JOBBER,RAYBESTOS,680130R
93,2013-11-01,2013-11-30,2M5Z1125AA,58.66,88.88,BRAKE DRUM ASSEMBLIES,ROTOR ASY,WD/JOBBER,WAGNER,BD125787
94,2013-09-01,2013-09-30,2M5Z2C026AA,20.60,39.99,BRAKE DRUM ASSEMBLIES,ROTOR ASY - BRAKE,WD/JOBBER,BENDIX,PRT5312
95,2013-09-01,2013-09-30,2M5Z2C026AA,31.99,51.18,BRAKE DRUM ASSEMBLIES,ROTOR ASY - BRAKE,AUTOZONE,DURALAST,54106
96,2013-05-01,2013-05-31,2M5Z2C026AA,42.94,65.06,BRAKE DRUM ASSEMBLIES,ROTOR ASY  BRAKE,WD/JOBBER,RAYBESTOS,680146R
97,2013-06-01,2013-06-30,2M5Z2C026AA,34.09,59.99,BRAKE DRUM ASSEMBLIES,ROTOR ASY  BRAKE,WD/JOBBER,RAYBESTOS,680146R
98,2013-11-01,2013-11-30,2M5Z2C026AA,35.99,54.53,BRAKE DRUM ASSEMBLIES,ROTOR ASY  BRAKE,WD/JOBBER,WAGNER,BD126007
99,2013-01-01,2013-01-31,2M5Z2C026AA,53.13,65.92,BRAKE DRUM ASSEMBLIES,ROTOR ASY - BRAKE,WD/JOBBER,ACDELCO,18A1589
100,2013-07-01,2013-07-31,2M5Z2C026AA,44.24,65.92,BRAKE DRUM ASSEMBLIES,ROTOR ASY - BRAKE,WD/JOBBER,ACDELCO,18A1589
101,2013-08-01,2013-08-31,2M5Z2C026AA,44.24,65.92,BRAKE DRUM ASSEMBLIES,ROTOR ASY - BRAKE,WD/JOBBER,ACDELCO,18A1589
102,2013-08-01,2013-08-31,2S4Z1113AA,34.84,51.92,BRAKE DRUM ASSEMBLIES,HUB AND DRUM ASY - WHEEL,WD/JOBBER,ACDELCO,18B549
103,2013-09-01,2013-09-30,2S4Z1113AA,60.00,113.99,BRAKE DRUM ASSEMBLIES,HUB AND DRUM ASY - WHEEL,WD/JOBBER,BENDIX,PDR0767
104,2013-09-01,2013-09-30,2S4Z1113AA,43.99,70.38,BRAKE DRUM ASSEMBLIES,HUB AND DRUM ASY - WHEEL,AUTOZONE,DURALAST,80112
105,2013-05-01,2013-05-31,2S4Z1113AA,121.81,184.56,BRAKE DRUM ASSEMBLIES,HUB AND DRUM ASY - WHEEL,WD/JOBBER,RAYBESTOS,9759R
106,2013-06-01,2013-06-30,2S4Z1113AA,99.02,167.99,BRAKE DRUM ASSEMBLIES,HUB AND DRUM ASY - WHEEL,WD/JOBBER,RAYBESTOS,9759R
107,2013-01-01,2013-01-31,2S4Z1113AA,41.84,51.92,BRAKE DRUM ASSEMBLIES,HUB AND DRUM ASY - WHEEL,WD/JOBBER,ACDELCO,18B549
108,2013-07-01,2013-07-31,2S4Z1113AA,34.84,51.92,BRAKE DRUM ASSEMBLIES,HUB AND DRUM ASY - WHEEL,WD/JOBBER,ACDELCO,18B549
109,2013-11-01,2013-11-30,2S4Z1113AA,64.33,97.46,BRAKE DRUM ASSEMBLIES,HUB AND DRUM ASY  WHEEL,WD/JOBBER,WAGNER,BD125704
110,2013-09-01,2013-09-30,2T1Z1125A,44.99,71.98,OE MOTORCRAFT ROTOR AND DRUM,ROTOR ASY - BRAKE,AUTOZONE,DURALAST,75002
111,2013-05-01,2013-05-31,2T1Z1125A,66.36,100.54,OE MOTORCRAFT ROTOR AND DRUM,ROTOR ASY  BRAKE,WD/JOBBER,RAYBESTOS,680765R
112,2013-06-01,2013-06-30,2T1Z1125A,52.68,91.99,OE MOTORCRAFT ROTOR AND DRUM,ROTOR ASY  BRAKE,WD/JOBBER,RAYBESTOS,680765R
113,2013-08-01,2013-08-31,2T1Z1125A,100.42,152.15,OE MOTORCRAFT ROTOR AND DRUM,ROTOR ASY  BRAKE,WD/JOBBER,WAGNER,BD180280
114,2013-01-01,2013-01-31,3C3Z1102BA,197.88,245.48,BRAKE DRUM ASSEMBLIES,HUB ASY - WHEEL,WD/JOBBER,ACDELCO,18A1676
115,2013-07-01,2013-07-31,3C3Z1102BA,164.76,245.48,BRAKE DRUM ASSEMBLIES,HUB ASY - WHEEL,WD/JOBBER,ACDELCO,18A1676
116,2013-08-01,2013-08-31,3C3Z1102BA,164.76,245.48,BRAKE DRUM ASSEMBLIES,HUB ASY - WHEEL,WD/JOBBER,ACDELCO,18A1676
117,2013-09-01,2013-09-30,3C3Z1102BA,99.99,159.98,BRAKE DRUM ASSEMBLIES,HUB ASY - WHEEL,AUTOZONE,DURALAST,54121
118,2013-06-01,2013-06-30,3C3Z1102BA,200.62,303.97,BRAKE DRUM ASSEMBLIES,HUB ASY - WHEEL,WD/JOBBER,NATIONAL,BD126113
119,2013-05-01,2013-05-31,3C3Z1102BA,184.84,280.06,BRAKE DRUM ASSEMBLIES,HUB ASY  WHEEL,WD/JOBBER,RAYBESTOS,680215R
120,2013-06-01,2013-06-30,3C3Z1102BA,150.26,254.99,BRAKE DRUM ASSEMBLIES,HUB ASY  WHEEL,WD/JOBBER,RAYBESTOS,680215R
121,2013-11-01,2013-11-30,3C3Z1102BA,148.51,225.02,BRAKE DRUM ASSEMBLIES,HUB ASY  WHEEL,WD/JOBBER,WAGNER,BD126113
122,2013-01-01,2013-01-31,3C3Z1102CA,197.88,245.48,OE MOTORCRAFT ROTOR AND DRUM,HUB ASY - WHEEL,WD/JOBBER,ACDELCO,18A1676
123,2013-07-01,2013-07-31,3C3Z1102CA,164.76,245.48,OE MOTORCRAFT ROTOR AND DRUM,HUB ASY - WHEEL,WD/JOBBER,ACDELCO,18A1676
124,2013-08-01,2013-08-31,3C3Z1102CA,164.76,245.48,OE MOTORCRAFT ROTOR AND DRUM,HUB ASY - WHEEL,WD/JOBBER,ACDELCO,18A1676
125,2013-07-01,2013-07-31,3C3Z1102CA,146.91,214.10,OE MOTORCRAFT ROTOR AND DRUM,HUB ASY - WHEEL,WD/JOBBER,BENDIX,PRT5762
126,2013-03-01,2013-03-31,3C3Z1102CA,218.82,323.92,OE MOTORCRAFT ROTOR AND DRUM,HUB ASY  WHEEL,WD/JOBBER,CENTRIC,12065104
127,2013-04-01,2013-04-30,3C3Z1102CA,177.95,229.42,OE MOTORCRAFT ROTOR AND DRUM,HUB ASY  WHEEL,WD/JOBBER,CENTRIC NCP,12065104
128,2013-05-01,2013-05-31,3C3Z1102CA,111.99,179.18,OE MOTORCRAFT ROTOR AND DRUM,HUB ASY - WHEEL,AUTOZONE,DURALAST,54120
129,2013-07-01,2013-07-31,3C3Z1102CA,111.99,179.18,OE MOTORCRAFT ROTOR AND DRUM,HUB ASY - WHEEL,AUTOZONE,DURALAST,54120
130,2013-07-01,2013-07-31,3C3Z1102CA,102.60,170.98,OE MOTORCRAFT ROTOR AND DRUM,HUB ASY - WHEEL,NAPA,NAPA,48880219
131,2013-03-01,2013-03-31,3C3Z1102CA,71.54,110.06,OE MOTORCRAFT ROTOR AND DRUM,HUB ASY - WHEEL,WD/JOBBER,NATIONAL,BD126371
132,2013-04-01,2013-04-30,3C3Z1102CA,57.94,87.78,OE MOTORCRAFT ROTOR AND DRUM,HUB ASY - WHEEL,WD/JOBBER,NATIONAL,BD126371
133,2013-07-01,2013-07-31,3C3Z1102CA,197.42,299.99,OE MOTORCRAFT ROTOR AND DRUM,HUB ASY - WHEEL,WD/JOBBER,RAYBESTOS,680219R
134,2013-07-01,2013-07-31,3C3Z1102CA,202.93,307.46,OE MOTORCRAFT ROTOR AND DRUM,HUB ASY - WHEEL,WD/JOBBER,WAGNER,BD126371
135,2013-09-01,2013-09-30,3C3Z1104BA,203.99,326.38,HUB ASSEMBLIES,KIT - BRAKE REPAIR,AUTOZONE,DURALAST,DL515056
136,2013-03-01,2013-03-31,3C3Z1104BA,419.69,807.10,HUB ASSEMBLIES,KIT  BRAKE REPAIR,WD/JOBBER,TIMKEN,SP580205
137,2013-03-01,2013-03-31,3C3Z1104CA,454.68,874.38,HUB ASSEMBLIES,HUB ASY,WD/JOBBER,TIMKEN,515025
138,2013-09-01,2013-09-30,3C3Z1104CA,209.99,335.98,HUB ASSEMBLIES,HUB ASY,AUTOZONE,DURALAST,DL515057
139,2013-01-01,2013-01-31,3C5Z1102AA,118.95,147.58,HUB ASSEMBLIES,KIT - RETAINING PIN,WD/JOBBER,ACDELCO,18A1480
140,2013-07-01,2013-07-31,3C5Z1102AA,99.04,147.58,HUB ASSEMBLIES,KIT - RETAINING PIN,WD/JOBBER,ACDELCO,18A1480
141,2013-08-01,2013-08-31,3C5Z1102AA,99.04,147.58,HUB ASSEMBLIES,KIT - RETAINING PIN,WD/JOBBER,ACDELCO,18A1480
142,2013-06-01,2013-06-30,3C5Z1102AA,125.48,190.12,HUB ASSEMBLIES,KIT - RETAINING PIN,WD/JOBBER,NATIONAL,BD126039
143,2013-09-01,2013-09-30,3C5Z1102AA,49.99,79.98,HUB ASSEMBLIES,KIT - RETAINING PIN,AUTOZONE,DURALAST,54115
144,2013-07-01,2013-07-31,3C5Z1102AA,175.54,265.97,HUB ASSEMBLIES,KIT  RETAINING PIN,WD/JOBBER,RAYBESTOS,715050
145,2013-11-01,2013-11-30,3C5Z1102AA,83.48,126.48,HUB ASSEMBLIES,KIT  RETAINING PIN,WD/JOBBER,WAGNER,BD126039
146,2013-09-01,2013-09-30,3C5Z1104AA,153.99,246.38,HUB ASSEMBLIES,KIT - WHEEL BEARING REPAIR,AUTOZONE,DURALAST,HA590259K
147,2013-03-01,2013-03-31,3C5Z1104AA,244.06,469.35,HUB ASSEMBLIES,KIT  WHEEL BEARING REPAIR,WD/JOBBER,TIMKEN,HA590259K
148,2013-09-01,2013-09-30,3F1Z1104AA,65.99,105.58,HUB ASSEMBLIES,HUB ASY - WHEEL,AUTOZONE,DURALAST,512107
149,2013-03-01,2013-03-31,3F1Z1104AA,91.82,176.58,HUB ASSEMBLIES,HUB ASY  WHEEL,WD/JOBBER,TIMKEN,512107
150,2013-09-01,2013-09-30,3F1Z1104BA,74.99,119.98,HUB ASSEMBLIES,HUB ASY - WHEEL,AUTOZONE,DURALAST,513100
151,2013-03-01,2013-03-31,3F1Z1104BA,109.53,210.63,HUB ASSEMBLIES,HUB ASY  WHEEL,WD/JOBBER,TIMKEN,513100
152,2013-06-01,2013-06-30,3F1Z1104CA,81.50,123.49,HUB ASSEMBLIES,HUB ASY - WHEEL,WD/JOBBER,RAYBESTOS,712163
153,2013-03-01,2013-03-31,3F1Z1104CA,120.54,231.80,HUB ASSEMBLIES,HUB ASY  WHEEL,WD/JOBBER,TIMKEN,512163
154,2013-08-01,2013-08-31,3F1Z1104CA,88.57,134.20,HUB ASSEMBLIES,HUB ASY  WHEEL,WD/JOBBER,WAGNER,512163
155,2013-09-01,2013-09-30,3F1Z1104CA,93.99,150.38,HUB ASSEMBLIES,HUB ASY - WHEEL,AUTOZONE,DURALAST,512163
156,2013-06-01,2013-06-30,3F1Z1104CA,121.42,183.97,HUB ASSEMBLIES,HUB ASY - WHEEL,WD/JOBBER,NATIONAL,512163
157,2013-05-01,2013-05-31,3F1Z1104CA,60.05,90.99,HUB ASSEMBLIES,HUB ASY - WHEEL,WD/JOBBER,RAYBESTOS,712163
158,2013-09-01,2013-09-30,3F1Z1104DA,63.99,102.38,HUB ASSEMBLIES,HUB ASY - WHEEL,AUTOZONE,DURALAST,512164
159,2013-03-01,2013-03-31,3F1Z1104DA,104.59,201.13,HUB ASSEMBLIES,HUB ASY  WHEEL,WD/JOBBER,TIMKEN,512164
160,2013-09-01,2013-09-30,3F2Z1104AA,177.99,284.78,HUB ASSEMBLIES,HUB ASY - WHEEL,AUTOZONE,DURALAST,DL513232
161,2013-03-01,2013-03-31,3F2Z1104AA,354.72,682.15,HUB ASSEMBLIES,HUB ASY  WHEEL,WD/JOBBER,TIMKEN,HA590024
162,2013-09-01,2013-09-30,3F2Z1104AB,175.99,281.58,HUB ASSEMBLIES,HUB ASY - WHEEL,AUTOZONE,DURALAST,DL513233
163,2013-03-01,2013-03-31,3F2Z1104AB,351.69,676.33,HUB ASSEMBLIES,HUB ASY  WHEEL,WD/JOBBER,TIMKEN,HA590025
164,2013-01-01,2013-01-31,3F2Z1125BA,85.76,106.40,BRAKE DRUM ASSEMBLIES,ROTOR ASY,WD/JOBBER,ACDELCO,18A906
