from_date,part_number,dealer_price,list_price
1/1/2013,5L8Z2C026BA,56.50,94.16
1/1/2013,5R3Z2C026AA,38.66,64.44
1/1/2013,5U9Z1102AA,0.00,0.00
1/1/2013,5W1Z1104B,146.45,244.09
1/1/2013,5W4Z1104BA,149.90,249.84
1/1/2013,6C2Z1109CA,0.00,0.00
1/1/2013,6C3Z1109X,0.00,0.00
1/1/2013,6C3Z2C026BA,0.00,0.00
1/1/2013,6E5Z1104AA,82.41,137.35
1/1/2013,6E5Z1104AB,56.43,94.05
1/1/2013,6E5Z1104BA,100.25,167.09
1/1/2013,6F2Z1109A,190.69,317.82
1/1/2013,6F2Z1109B,254.25,423.76
1/1/2013,6F2Z1125A,381.23,635.40
1/1/2013,6L1Z1104B,0.00,0.00
1/1/2013,6L1Z1104C,0.00,0.00
1/1/2013,6L1Z1104CA,234.62,391.03
1/1/2013,6L1Z1104D,0.00,0.00
1/1/2013,6L1Z1104DA,286.25,477.08
1/1/2013,6L1Z1104E,0.00,0.00
1/1/2013,6L1Z1109AA,222.15,370.25
1/1/2013,6L1Z1109D,0.00,0.00
1/1/2013,6L1Z1109F,0.00,0.00
1/1/2013,6L1Z1125A,56.29,93.81
1/1/2013,6L1Z2C026A,50.72,84.53
1/1/2013,6L2Z1109B,187.80,313.00
1/1/2013,6L2Z1125AA,55.34,92.23
1/1/2013,6L2Z2C026A,46.01,76.68
1/1/2013,6L3Z1104A,203.56,339.28
1/1/2013,6L5Z1104B,212.97,354.96
1/1/2013,6L5Z1126A,39.98,66.63
1/1/2013,6L8Z1109AA,39.20,65.32
1/1/2013,6L8Z1109BA,37.60,62.66
1/1/2013,6U9Z2C026A,119.00,198.33
1/1/2013,6U9Z2C026B,0.00,0.00
1/1/2013,7C3Z1102A,0.00,0.00
1/1/2013,7C3Z1102B,0.00,0.00
1/1/2013,7C3Z1104B,0.00,0.00
1/1/2013,7C3Z1104C,0.00,0.00
1/1/2013,7L1Z1104AA,0.00,0.00
1/1/2013,7L1Z1104BA,600.00,999.99
1/1/2013,7L1Z1104D,0.00,0.00
1/1/2013,7L1Z1104E,0.00,0.00
1/1/2013,7L1Z1109A,0.00,0.00
1/1/2013,7L1Z1109AA,255.00,425.00
1/1/2013,7L2Z1104A,331.11,551.85
1/1/2013,7L3Z1104A,222.38,370.63
1/1/2013,7L3Z1104B,198.15,330.26
1/1/2013,7L8Z1126A,69.98,116.63
1/1/2013,7R3Z1125A,118.13,196.88
1/1/2013,7S4Z1104A,69.64,116.07
1/1/2013,7S4Z1125A,0.00,0.00
1/1/2013,7S6Z1125A,49.98,83.30
1/1/2013,7S6Z1125B,34.98,58.30
1/1/2013,7S6Z2C026A,42.98,71.63
1/1/2013,7T1Z1104A,105.40,175.66
1/1/2013,7T1Z1104B,240.52,400.86
1/1/2013,7T1Z1104C,0.00,0.00
1/1/2013,7T1Z1104D,56.66,94.43
1/1/2013,7T4Z1104A,66.67,111.11
1/1/2013,7T4Z1104B,219.32,365.53
1/1/2013,7T4Z1104C,249.90,416.50
1/1/2013,7T4Z1125A,52.33,87.21
1/1/2013,7T4Z1125B,42.98,71.63
1/1/2013,7T4Z2C026A,42.42,70.70
1/1/2013,7W1Z1104A,157.73,262.89
1/1/2013,8A8Z1104B,0.00,0.00
1/1/2013,8A8Z1125A,0.00,0.00
1/1/2013,8C2Z1102A,0.00,0.00
1/1/2013,8C2Z1102C,0.00,0.00
1/1/2013,8C2Z1109A,191.05,318.42
1/1/2013,8C2Z1109B,135.01,225.02
1/1/2013,8C2Z1109C,142.41,237.35
1/1/2013,8C2Z2C026A,74.24,123.73
1/1/2013,8C2Z2C026B,81.52,135.86
1/1/2013,8C2Z2C026C,97.61,162.68
1/1/2013,8F9Z1104A,125.48,209.12
1/1/2013,8F9Z1104B,137.62,229.36
1/1/2013,8F9Z1104C,152.38,253.97
1/1/2013,8G1Z1125A,0.00,0.00
1/1/2013,8G1Z1125B,45.52,75.87
1/1/2013,8G1Z2C026A,0.00,0.00
1/1/2013,8G1Z2C026B,0.00,0.00
1/1/2013,8L3Z1102A,179.90,299.84
1/1/2013,8L3Z1102B,151.60,252.66
1/1/2013,8L8Z1104A,109.36,182.27
1/1/2013,8L8Z1126BD,54.18,90.30
1/1/2013,8S4Z1113B,66.96,111.60
1/1/2013,8T1Z1126B,0.00,0.00
1/1/2013,8U9Z1125A,0.00,0.00
1/1/2013,8U9Z2C026A,0.00,0.00
1/1/2013,9C3Z2C026A,63.63,106.05
1/1/2013,9E5Z1125A,0.00,0.00
1/1/2013,9E5Z1125B,0.00,0.00
1/1/2013,9E5Z1125C,48.40,80.67
1/1/2013,9E5Z2C026A,0.00,0.00
1/1/2013,9E5Z2C026B,38.07,63.45
1/1/2013,9L3Z1104A,330.23,550.38
1/1/2013,9L3Z1104B,0.00,0.00
1/1/2013,9L3Z1104C,688.98,"1,148.31"
1/1/2013,9L3Z1125C,60.39,100.66
1/1/2013,9L3Z1125D,0.00,0.00
1/1/2013,9L3Z2C026A,56.63,94.39
1/1/2013,9L3Z2C026B,55.28,92.14
1/1/2013,9S4Z1113A,71.63,119.38
1/1/2013,9S4Z1125A,0.00,0.00
1/1/2013,9T4Z1104A,313.29,522.15
1/1/2013,9T4Z2C026A,0.00,0.00
1/1/2013,AC3Z1104B,446.82,744.69
1/1/2013,AC3Z1104C,363.18,605.30
1/1/2013,AC3Z1104D,461.27,768.79
1/1/2013,AC3Z1104E,0.00,0.00
1/1/2013,AC3Z1104F,394.72,657.86
1/1/2013,AE8Z1125A,38.24,63.73
1/1/2013,AE8Z1125B,0.00,0.00
1/1/2013,AG1Z1125A,0.00,0.00
1/1/2013,AG1Z2C026A,47.62,79.37
1/1/2013,AL1Z2C026AA,0.00,0.00
1/1/2013,AL1Z2C026B,0.00,0.00
1/1/2013,AL3Z1104A,0.00,0.00
1/1/2013,AL3Z1125A,0.00,0.00
1/1/2013,AL3Z1125B,0.00,0.00
1/1/2013,AL5Z1102A,74.19,123.65
1/1/2013,AL5Z1104A,377.67,629.45
1/1/2013,AL5Z2C026A,67.74,112.91
1/1/2013,AL8Z1125A,47.18,78.63
1/1/2013,AS4Z1125A,41.42,69.04
1/1/2013,AT1Z1126A,62.49,104.16
1/1/2013,AV6Z2C026A,0.00,0.00
1/1/2013,AY1Z1125A,0.00,0.00
1/1/2013,B1BZ1104A,0.00,0.00
1/1/2013,B1BZ1104B,0.00,0.00
1/1/2013,BB5Z1104A,80.46,134.10
1/1/2013,BC2Z1102A,136.64,227.74
1/1/2013,BC2Z1102B,107.57,179.27
1/1/2013,BC3Z1104A,404.39,673.99
1/1/2013,BC3Z1104B,43.73,72.89
1/1/2013,BC3Z1104C,401.16,668.61
1/1/2013,BC3Z1104D,0.00,0.00
1/1/2013,BC3Z1104E,526.46,877.43
1/1/2013,BC3Z1109A,119.73,199.54
1/1/2013,BC3Z1109B,113.04,188.40
1/1/2013,BC3Z1109C,90.00,150.00
1/1/2013,BC3Z2C026A,77.78,129.63
1/1/2013,BE8Z1104A,32.60,54.34
1/1/2013,BE8Z1109A,70.62,117.69
1/1/2013,BE8Z1126A,0.00,0.00
1/1/2013,BE8Z1126B,25.32,42.20
1/1/2013,BL1Z1104A,0.00,0.00
1/1/2013,BL3Z1104A,0.00,0.00
1/1/2013,BL3Z1104B,0.00,0.00
1/1/2013,BL3Z1104C,0.00,0.00
1/1/2013,BL3Z1104D,0.00,0.00
1/1/2013,BL3Z2C026A,67.38,112.31
1/1/2013,BL3Z2C026B,59.98,99.97
1/1/2013,BR3Z1125A,0.00,0.00
1/1/2013,BT4Z1104A,37.12,61.88
1/1/2013,BT4Z1104B,131.52,219.19
1/1/2013,BT4Z2C026A,0.00,0.00
1/1/2013,BT4Z2C026B,49.71,82.85
1/1/2013,BV6Z1104B,0.00,0.00
1/1/2013,BV6Z1109C,0.00,0.00
1/1/2013,BV6Z1125A,39.62,66.03
1/1/2013,BV6Z1126A,47.25,78.74
1/1/2013,BV6Z2C026A,0.00,0.00
1/1/2013,C1BZ1126A,0.00,0.00
1/1/2013,C1BZ2C026A,0.00,0.00
1/1/2013,CB5Z1125A,90.27,150.44
1/1/2013,CC3Z1102A,122.91,204.85
1/1/2013,CC3Z1102B,161.87,269.78
1/1/2013,CL1Z1109A,230.65,384.43
1/1/2013,CL1Z2C026A,56.35,93.92
1/1/2013,CL3Z1104A,221.74,369.57
1/1/2013,CL3Z1104B,161.62,269.37
1/1/2013,CL3Z1104C,197.72,329.54
1/1/2013,CL3Z1104D,0.00,0.00
1/1/2013,CL3Z1104E,0.00,0.00
1/1/2013,CL3Z1104F,0.00,0.00
1/1/2013,CL3Z1104G,184.96,308.27
1/1/2013,CL3Z1104H,286.28,477.12
1/1/2013,CL3Z1125A,59.98,99.97
1/1/2013,CL3Z1125B,68.28,113.81
1/1/2013,CL3Z2C026A,59.98,99.97
1/1/2013,CL3Z2C026B,49.98,83.30
1/1/2013,CL3Z2C026C,74.98,124.96
1/1/2013,CL3Z2C026D,0.00,0.00
1/1/2013,CR3Z1125B,64.98,108.30
1/1/2013,CR3Z1125C,59.98,99.97
1/1/2013,CU9Z1102A,0.00,0.00
1/1/2013,CV6Z1104A,38.57,64.29
1/1/2013,CV6Z1104D,33.00,55.00
1/1/2013,CV6Z1104F,62.93,104.88
1/1/2013,CV6Z1104G,0.00,0.00
1/1/2013,CV6Z1104H,60.35,100.59
1/1/2013,CV6Z1109A,139.87,233.11
1/1/2013,CV6Z1109B,110.29,183.82
1/1/2013,CV6Z1109C,0.00,0.00
1/1/2013,CV6Z1125A,39.98,66.63
1/1/2013,CV6Z1125B,47.25,78.74
1/1/2013,CV6Z1126A,39.98,66.63
1/1/2013,CV6Z2C026A,38.28,63.80
1/1/2013,CV6Z2C026B,43.79,72.98
1/1/2013,DC3Z1102B,120.84,201.40
1/1/2013,DC3Z1102C,160.11,266.85
1/1/2013,DC3Z1104A,0.00,0.00
1/1/2013,DC3Z1104B,0.00,0.00
1/1/2013,DC3Z1104C,0.00,0.00
1/1/2013,DC3Z1104D,0.00,0.00
1/1/2013,DC3Z1125A,86.38,143.96
1/1/2013,DC3Z2C026A,79.98,133.30
1/1/2013,DC3Z2C026B,82.33,137.22
1/1/2013,DCPZ1104A,45.47,75.78
1/1/2013,DE9Z1104A,0.00,0.00
1/1/2013,DE9Z1104B,0.00,0.00
1/1/2013,DE9Z1104C,0.00,0.00
1/1/2013,DE9Z2C026A,128.00,213.33
1/1/2013,DG1Z1125B,0.00,0.00
1/1/2013,DG1Z1125C,50.80,84.67
1/1/2013,DG1Z2C026A,41.48,69.13
1/1/2013,DG9Z1104A,58.18,96.97
1/1/2013,DG9Z1104B,64.75,107.91
1/1/2013,DG9Z1104C,0.00,0.00
1/1/2013,DG9Z1104D,0.00,0.00
1/1/2013,DG9Z1125A,49.98,83.30
1/1/2013,DG9Z1125B,49.98,83.30
1/1/2013,DG9Z2C026A,49.98,83.30
1/1/2013,DG9Z2C026B,49.98,83.30
1/1/2013,DL1Z1104A,172.99,288.32
1/1/2013,DR3Z1125A,103.06,171.77
1/1/2013,DR3Z1125B,59.98,99.97
1/1/2013,DR3Z1125C,51.94,86.57
1/1/2013,DR3Z2C026A,67.64,112.73
1/1/2013,E9HZ1126A,256.19,426.98
1/1/2013,F1CZ1104A,49.44,82.40
1/1/2013,F1CZ1104B,60.00,100.00
1/1/2013,F2HZ1125B,0.00,0.00
1/1/2013,F3SZ1109A,85.00,141.67
1/1/2013,F4HZ1109D,328.51,547.52
1/1/2013,F4HZ1125A,150.00,250.00
1/1/2013,F4HZ1125C,165.00,275.00
1/1/2013,F4TZ1109A,220.00,366.67
1/1/2013,F4UZ1102B,0.00,0.00
1/1/2013,F4ZZ2C026B,76.35,127.25
1/1/2013,F58Z1126B,79.97,133.29
1/1/2013,F5RZ1104A,69.00,115.00
1/1/2013,F5RZ1104B,0.00,0.00
1/1/2013,F5TZ2C026A,29.98,49.97
1/1/2013,F67Z1125BA,44.98,74.97
1/1/2013,F68Z1104AA,75.38,125.64
1/1/2013,F6SZ1104BA,79.16,131.93
1/1/2013,F6UZ2C026AA,92.67,154.45
1/1/2013,F78Z1104AA,69.68,116.13
1/1/2013,F7AZ1104AC,72.25,120.41
1/1/2013,F81Z1102BA,109.98,183.30
1/1/2013,F81Z1102DB,173.54,289.23
1/1/2013,F81Z1104AD,244.25,407.08
1/1/2013,F81Z1104BH,302.29,503.82
1/1/2013,F81Z1104CH,0.00,0.00
1/1/2013,F81Z1104DG,285.00,475.00
1/1/2013,F81Z1104EC,0.00,0.00
1/1/2013,F81Z1109DA,165.42,275.70
1/1/2013,F81Z1109EB,219.39,365.64
1/1/2013,F81Z1125AA,0.00,0.00
1/1/2013,F81Z1125AB,0.00,0.00
1/1/2013,F81Z1125BA,100.81,168.02
1/1/2013,F81Z1125DA,75.33,125.56
1/1/2013,F81Z2C026AA,89.98,149.97
1/1/2013,F81Z2C026EA,80.57,134.29
1/1/2013,F87Z1104AB,0.00,0.00
1/1/2013,F87Z1104BB,0.00,0.00
1/1/2013,F87Z1104CA,165.88,276.47
1/1/2013,F87Z1126BA,34.98,58.30
1/1/2013,F8AZ1104AA,71.00,118.33
1/1/2013,F8UZ1102AB,115.14,191.90
1/1/2013,F8UZ1102CA,157.54,262.56
1/1/2013,F8VZ1125AA,65.32,108.87
1/1/2013,F8ZZ2C026AA,42.98,71.63
1/1/2013,XC2Z1126AA,59.98,99.97
1/1/2013,XC2Z2C026AA,85.42,142.36
1/1/2013,XC2Z2C026BB,87.10,145.17
1/1/2013,XF5Z1104AA,163.44,272.40
1/1/2013,XF5Z1125AA,44.98,74.97
1/1/2013,XF5Z1126AA,0.00,0.00
1/1/2013,XL1Z1102AF,0.00,0.00
1/1/2013,XL1Z1104AE,260.00,433.33
1/1/2013,XL1Z1125AA,79.54,132.57
1/1/2013,XL3Z1102EC,64.98,108.30
1/1/2013,XL3Z1104AD,234.75,391.25
1/1/2013,XL3Z1104BC,157.42,262.37
1/1/2013,XL3Z1125BA,0.00,0.00
1/1/2013,XL3Z1125CB,44.98,74.97
1/1/2013,XL5Z1104A,264.73,441.22
1/1/2013,XL5Z1104B,223.20,372.00
1/1/2013,XR3Z1125BC,126.99,211.65
1/1/2013,XW4Z1109AA,0.00,0.00
1/1/2013,XW4Z1125AA,58.46,97.43
1/1/2013,XW4Z2C026AA,49.98,83.30
1/1/2013,YC2Z1109AA,238.45,397.42
1/1/2013,YC2Z1126AA,79.98,133.30
1/1/2013,YC3Z1102AA,0.00,0.00
1/1/2013,YC3Z1104C,0.00,0.00
1/1/2013,YC3Z1104D,318.02,530.03
1/1/2013,YC3Z1104EA,305.32,508.87
1/1/2013,YC3Z1109AA,403.09,671.82
1/1/2013,YC3Z1109CA,411.43,685.72
1/1/2013,YC3Z1125AA,174.17,290.28
1/1/2013,YC3Z1126AA,0.00,0.00
1/1/2013,YC3Z2C026AA,165.00,275.00
1/1/2013,YC3Z2C026BA,0.00,0.00
1/1/2013,YC3Z2C026BB,80.70,134.50
1/1/2013,YF1Z1104AC,0.00,0.00
1/1/2013,YF1Z1125AA,0.00,0.00
1/1/2013,YF1Z2C026AA,29.98,49.97
1/1/2013,YL1Z1102AA,0.00,0.00
1/1/2013,YL1Z1104AA,284.90,474.84
1/1/2013,YL1Z2C026AA,64.98,108.30
1/1/2013,YL3Z1102AA,55.50,92.50
1/1/2013,YL3Z1104BA,195.32,325.53
1/1/2013,YL3Z2C026AA,68.99,114.98
1/1/2013,YL5Z1104A,217.65,362.75
1/1/2013,YL5Z1104AA,0.00,0.00
1/1/2013,YL5Z1104B,199.62,332.70
1/1/2013,YL5Z1104BA,0.00,0.00
1/1/2013,YR3Z1109AA,191.38,318.97
1/1/2013,YS4Z1A034AA,82.76,137.93
1/1/2013,YW7Z2C026AA,44.98,74.97
2/1/2013,1C4Z2C026AA,0.00,0.00
2/1/2013,1F1Z1104DA,0.00,0.00
2/1/2013,1F1Z1126BA,34.98,58.30
2/1/2013,1F2Z1104AB,90.77,151.28
2/1/2013,1L2Z1109AA,140.41,234.02
2/1/2013,1L3Z1104BA,250.00,416.67
2/1/2013,1L5Z1126BA,59.98,99.97
2/1/2013,1R3Z1104B,80.00,133.33
2/1/2013,1R3Z1104BB,69.00,115.00
2/1/2013,1R8Z2C026AA,54.98,91.63
2/1/2013,1S4Z2C026BA,0.00,0.00
2/1/2013,2T1Z1125A,52.79,87.98
2/1/2013,2T1Z1126C,59.98,99.97
2/1/2013,3C2Z1104AA,540.00,900.00
2/1/2013,3C2Z1109AA,249.77,416.28
2/1/2013,3C3Z1102CA,203.68,339.46
2/1/2013,3C3Z1104A,266.42,444.03
2/1/2013,3C3Z1104B,224.86,374.77
2/1/2013,3C3Z1104BA,0.00,0.00
2/1/2013,3C3Z1104CA,293.48,489.13
2/1/2013,3C3Z1109AA,0.00,0.00
2/1/2013,3C3Z1109AB,121.57,202.62
2/1/2013,3C3Z1109BA,0.00,0.00
2/1/2013,3C3Z1109BB,355.50,592.50
2/1/2013,3C3Z1109DA,185.63,309.38
2/1/2013,3C5Z1104AA,139.98,233.30
2/1/2013,3F1Z1104AA,66.00,110.00
2/1/2013,3F1Z1104BA,68.46,114.10
2/1/2013,3F1Z1104CA,77.58,129.30
2/1/2013,3F1Z1104DA,58.32,97.20
2/1/2013,3F2Z1104AA,378.38,630.63
2/1/2013,3F2Z1104AB,271.98,453.31
2/1/2013,3F2Z2C026AA,49.98,83.30
2/1/2013,3L2Z1104AA,196.09,326.81
2/1/2013,3L2Z1104AB,0.00,0.00
2/1/2013,3L2Z1109AA,0.00,0.00
2/1/2013,3L2Z1125AA,67.92,113.20
2/1/2013,3L2Z2C026AA,44.98,74.97
2/1/2013,3L5Z1104AA,0.00,0.00
2/1/2013,3L5Z1125AA,50.96,84.94
2/1/2013,3W1Z1125AA,45.59,75.98
2/1/2013,3W1Z2C026AA,42.98,71.63
2/1/2013,3W1Z2C026BA,59.98,99.97
2/1/2013,3W7Z2C026AA,45.63,76.05
2/1/2013,4C2Z1102AA,221.44,369.07
2/1/2013,4C2Z2C026AA,107.14,178.57
2/1/2013,4C3Z1102BA,481.49,802.48
2/1/2013,4C3Z1109AA,0.00,0.00
2/1/2013,4C5Z1125AA,65.98,109.97
2/1/2013,4F1Z1125AA,0.00,0.00
2/1/2013,4F2Z1102AAA,0.00,0.00
2/1/2013,4G7Z1104AA,0.00,0.00
2/1/2013,4G7Z1125AA,144.38,240.63
2/1/2013,4G7Z2C026AA,0.00,0.00
2/1/2013,4L2Z1104AA,177.61,296.01
2/1/2013,4L2Z1125AA,51.98,86.63
2/1/2013,4L3Z1104AB,231.10,385.17
2/1/2013,4L3Z1104BB,204.37,340.62
2/1/2013,4L5Z1102BA,85.98,143.30
2/1/2013,4R3Z1104AA,109.73,182.89
2/1/2013,4R3Z1104AB,106.51,177.51
2/1/2013,4R3Z1104B,0.00,0.00
2/1/2013,4R3Z1125AA,67.22,112.03
2/1/2013,4R3Z1125BA,0.00,0.00
2/1/2013,5C3Z1102AB,138.65,231.07
2/1/2013,5C3Z1102GB,139.98,233.30
2/1/2013,5C3Z1104BAA,0.00,0.00
2/1/2013,5C3Z1109AA,0.00,0.00
2/1/2013,5C3Z1109B,352.30,587.17
2/1/2013,5C3Z1109CA,249.33,415.55
2/1/2013,5C3Z1109CC,119.67,199.45
2/1/2013,5C3Z1109DA,169.85,283.07
2/1/2013,5C3Z1125AB,74.82,124.70
2/1/2013,5C3Z1125CA,83.27,138.78
2/1/2013,5C3Z1125DA,84.75,141.26
2/1/2013,5C3Z2C026CA,109.85,183.09
2/1/2013,5C5Z2C026A,49.98,83.30
2/1/2013,5L2Z1102BA,101.43,169.05
2/1/2013,5L2Z2C026A,0.00,0.00
2/1/2013,5L3Z1125AA,75.64,126.07
2/1/2013,5L3Z1125BA,93.31,155.51
2/1/2013,5L3Z2C026AA,0.00,0.00
2/1/2013,5L8Z1125AA,0.00,0.00
2/1/2013,5L8Z1125BA,54.98,91.63
2/1/2013,5L8Z2C026BA,56.87,94.77
2/1/2013,5R3Z2C026AA,36.29,60.49
2/1/2013,5U9Z1102AA,404.61,674.35
2/1/2013,5W1Z1104B,144.86,241.44
2/1/2013,5W4Z1104BA,143.17,238.61
2/1/2013,6C2Z1109CA,183.19,305.32
2/1/2013,6C3Z1109X,347.78,579.63
2/1/2013,6C3Z2C026BA,0.00,0.00
2/1/2013,6E5Z1104AA,87.26,145.43
2/1/2013,6E5Z1104AB,54.11,90.20
2/1/2013,6E5Z1104BA,102.90,171.49
2/1/2013,6F2Z1109A,228.83,381.38
2/1/2013,6F2Z1109B,190.69,317.82
2/1/2013,6F2Z1125A,914.96,"1,524.96"
2/1/2013,6L1Z1104B,0.00,0.00
2/1/2013,6L1Z1104C,0.00,0.00
2/1/2013,6L1Z1104CA,220.95,368.25
2/1/2013,6L1Z1104D,0.00,0.00
2/1/2013,6L1Z1104DA,261.44,435.73
2/1/2013,6L1Z1104E,0.00,0.00
2/1/2013,6L1Z1109AA,210.81,351.34
2/1/2013,6L1Z1109D,0.00,0.00
2/1/2013,6L1Z1109F,0.00,0.00
2/1/2013,6L1Z1125A,55.22,92.03
2/1/2013,6L1Z2C026A,49.98,83.30
2/1/2013,6L2Z1109B,172.11,286.85
2/1/2013,6L2Z1125AA,55.24,92.06
2/1/2013,6L2Z2C026A,44.98,74.97
2/1/2013,6L3Z1104A,200.89,334.81
2/1/2013,6L5Z1104B,217.09,361.82
2/1/2013,6L5Z1126A,39.98,66.63
2/1/2013,6L8Z1109AA,39.25,65.42
2/1/2013,6L8Z1109BA,37.84,63.06
2/1/2013,6U9Z2C026A,119.00,198.33
2/1/2013,6U9Z2C026B,0.00,0.00
2/1/2013,7C3Z1102A,0.00,0.00
2/1/2013,7C3Z1102B,0.00,0.00
2/1/2013,7C3Z1104B,0.00,0.00
2/1/2013,7C3Z1104C,0.00,0.00
2/1/2013,7L1Z1104AA,0.00,0.00
2/1/2013,7L1Z1104BA,250.00,416.66
2/1/2013,7L1Z1104D,0.00,0.00
2/1/2013,7L1Z1104E,0.00,0.00
2/1/2013,7L1Z1109A,0.00,0.00
2/1/2013,7L1Z1109AA,226.35,377.26
2/1/2013,7L2Z1104A,297.90,496.49
2/1/2013,7L3Z1104A,229.83,383.05
2/1/2013,7L3Z1104B,184.00,306.67
2/1/2013,7L8Z1126A,69.98,116.63
2/1/2013,7R3Z1125A,121.30,202.17
2/1/2013,7S4Z1104A,70.68,117.80
2/1/2013,7S4Z1125A,0.00,0.00
2/1/2013,7S6Z1125A,49.98,83.30
2/1/2013,7S6Z1125B,34.98,58.30
2/1/2013,7S6Z2C026A,42.98,71.63
2/1/2013,7T1Z1104A,103.79,172.98
2/1/2013,7T1Z1104B,276.92,461.54
2/1/2013,7T1Z1104C,0.00,0.00
2/1/2013,7T1Z1104D,50.34,83.90
2/1/2013,7T4Z1104A,55.88,93.12
2/1/2013,7T4Z1104B,171.40,285.66
2/1/2013,7T4Z1104C,188.50,314.15
2/1/2013,7T4Z1125A,51.78,86.30
2/1/2013,7T4Z1125B,43.87,73.11
2/1/2013,7T4Z2C026A,41.24,68.72
2/1/2013,7W1Z1104A,162.02,270.03
2/1/2013,8A8Z1104B,0.00,0.00
2/1/2013,8A8Z1125A,0.00,0.00
2/1/2013,8C2Z1102A,0.00,0.00
2/1/2013,8C2Z1102C,0.00,0.00
2/1/2013,8C2Z1109A,0.00,0.00
2/1/2013,8C2Z1109B,135.01,225.02
2/1/2013,8C2Z1109C,155.60,259.33
