from_date,part_number,retail_revenue,retail_quantity,dealer_price,gross_quantity,gross_revenue
2013-01-01,5C3Z1109B,"1,761.50",5,"1,761.50",5,"1,761.50"
2013-01-01,5C3Z1109CA,"1,974.69",9,"1,974.69",9,"1,974.69"
2013-01-01,5C3Z1109CC,"2,991.75",24,"3,231.09",27,"3,231.09"
2013-01-01,5C3Z1109DA,"8,668.40",52,"8,835.10",53,"8,835.10"
2013-01-01,5C3Z1125AB,"55,174.30",782.85,"58,713.22",839,"58,713.22"
2013-01-01,5C3Z1125CA,"35,025.64",437.4,"35,671.08",446,"35,671.08"
2013-01-01,5C3Z1125DA,"14,316.42",172,"14,716.32",184,"14,716.32"
2013-01-01,5C3Z2C026CA,"104,818.19",969.4,"109,383.74","1,013.00","109,383.74"
2013-01-01,5C5Z2C026A,"1,249.50",25,"1,249.50",25,"1,249.50"
2013-01-01,5L2Z1102BA,660.03,7,660.03,7,660.03
2013-01-01,5L2Z2C026A,0,0,0,0,0
2013-01-01,5L3Z1125AA,"15,918.26",214,"16,345.64",218,"16,345.64"
2013-01-01,5L3Z1125BA,699.8,10,699.8,10,699.8
2013-01-01,5L3Z2C026AA,0,0,0,0,0
2013-01-01,5L8Z1125AA,-59.98,-1,0,0,0
2013-01-01,5L8Z1125BA,"9,071.71",163,"9,291.62",169,"9,291.62"
2013-01-01,5L8Z2C026BA,"9,843.86",181,"10,226.28",186,"10,226.28"
2013-01-01,5R3Z2C026AA,"6,972.69",190,"7,345.80",210,"7,345.80"
2013-01-01,5U9Z1102AA,0,0,0,0,0
2013-01-01,5W1Z1104B,"19,774.02",136,"19,917.31",139,"19,917.31"
2013-01-01,5W4Z1104BA,"14,240.88",95,"14,240.88",114,"14,240.88"
2013-01-01,6C2Z1109CA,0,0,0,0,0
2013-01-01,6C3Z1109X,0,0,0,0,0
2013-01-01,6C3Z2C026BA,-436.96,-2,0,0,0
2013-01-01,6E5Z1104AA,988.92,12,988.92,12,988.92
2013-01-01,6E5Z1104AB,"26,558.00",508,"28,665.00",585,"28,665.00"
2013-01-01,6E5Z1104BA,"8,117.88",96,"9,624.35",115,"9,624.35"
2013-01-01,6F2Z1109A,"1,334.83",7,"1,334.83",7,"1,334.83"
2013-01-01,6F2Z1109B,762.76,3,762.76,4,762.76
2013-01-01,6F2Z1125A,686.2,6,"2,287.40",20,"2,287.40"
2013-01-01,6L1Z1104B,0,0,0,0,0
2013-01-01,6L1Z1104C,0,0,0,0,0
2013-01-01,6L1Z1104CA,"22,536.90",97,"22,757.85",103,"22,757.85"
2013-01-01,6L1Z1104D,0,0,0,0,0
2013-01-01,6L1Z1104DA,"22,969.32",81,"23,185.89",91,"23,185.89"
2013-01-01,6L1Z1104E,0,0,0,0,0
2013-01-01,6L1Z1109AA,"51,539.14",232,"51,539.14",254,"51,539.14"
2013-01-01,6L1Z1109D,0,0,0,0,0
2013-01-01,6L1Z1109F,0,0,0,0,0
2013-01-01,6L1Z1125A,"11,638.82",210,"11,820.70",215,"11,820.70"
2013-01-01,6L1Z2C026A,"6,812.28",136,"6,897.24",138,"6,897.24"
2013-01-01,6L2Z1109B,"11,162.11",61,"11,455.86",78,"11,455.86"
2013-01-01,6L2Z1125AA,"25,191.84",459,"25,400.76",462,"25,400.76"
2013-01-01,6L2Z2C026A,"15,842.04",351,"16,147.82",359,"16,147.82"
2013-01-01,6L3Z1104A,"43,979.00",218,"44,377.00",223,"44,377.00"
2013-01-01,6L5Z1104B,"51,838.20",253,"53,882.00",290,"53,882.00"
2013-01-01,6L5Z1126A,"1,399.30",35,"1,399.30",35,"1,399.30"
2013-01-01,6L8Z1109AA,"2,951.19",80,"3,135.65",85,"3,135.65"
2013-01-01,6L8Z1109BA,"1,955.17",52,"1,955.17",53,"1,955.17"
2013-01-01,6U9Z2C026A,"1,071.00",9,"1,071.00",9,"1,071.00"
2013-01-01,6U9Z2C026B,0,0,0,0,0
2013-01-01,7C3Z1102A,0,0,0,0,0
2013-01-01,7C3Z1102B,-237.96,-2,0,0,0
2013-01-01,7C3Z1104B,-238.4,-1,0,0,0
2013-01-01,7C3Z1104C,0,0,0,0,0
2013-01-01,7L1Z1104AA,-212.24,-13,0,0,0
2013-01-01,7L1Z1104BA,333.34,2,"1,200.00",6,"1,200.00"
2013-01-01,7L1Z1104D,0,0,0,0,0
2013-01-01,7L1Z1104E,0,0,0,0,0
2013-01-01,7L1Z1109A,0,0,0,0,0
2013-01-01,7L1Z1109AA,"10,045.00",41,"10,455.00",51,"10,455.00"
2013-01-01,7L2Z1104A,"453,216.36","1,598.63","529,330.00","2,462.00","529,330.00"
2013-01-01,7L3Z1104A,"169,262.12",787.39,"175,100.18",886,"175,100.18"
2013-01-01,7L3Z1104B,"2,576.00",13,"2,576.00",14,"2,576.00"
2013-01-01,7L8Z1126A,419.88,6,419.88,6,419.88
2013-01-01,7R3Z1125A,"6,158.88",54,"6,378.84",58,"6,378.84"
2013-01-01,7S4Z1104A,"9,854.86",159,"11,072.27",191,"11,072.27"
2013-01-01,7S4Z1125A,0,0,0,0,0
2013-01-01,7S6Z1125A,"2,249.10",45,"2,249.10",45,"2,249.10"
2013-01-01,7S6Z1125B,"2,343.66",67,"2,343.66",67,"2,343.66"
2013-01-01,7S6Z2C026A,85.96,2,85.96,2,85.96
2013-01-01,7T1Z1104A,"6,292.00",76,"8,010.31",101,"8,010.31"
2013-01-01,7T1Z1104B,"13,083.75",58,"13,950.00",62,"13,950.00"
2013-01-01,7T1Z1104C,-153.14,-2,0,0,0
2013-01-01,7T1Z1104D,"1,041.18",21,"1,189.92",24,"1,189.92"
2013-01-01,7T4Z1104A,"6,650.00",114,"7,600.00",152,"7,600.00"
2013-01-01,7T4Z1104B,"23,772.20",166.33,"36,480.00",384,"36,480.00"
2013-01-01,7T4Z1104C,"34,914.14",260.78,"65,170.00",665,"65,170.00"
2013-01-01,7T4Z1125A,"15,677.75",349,"18,261.88",406,"18,261.88"
2013-01-01,7T4Z1125B,"1,891.12",44,"1,891.12",44,"1,891.12"
2013-01-01,7T4Z2C026A,"9,315.35",229,"9,715.14",243,"9,715.14"
2013-01-01,7W1Z1104A,"50,732.06",338,"53,313.36",358,"53,313.36"
2013-01-01,8A8Z1104B,0,0,0,0,0
2013-01-01,8A8Z1125A,0,0,0,0,0
2013-01-01,8C2Z1102A,-219.96,-2,0,0,0
2013-01-01,8C2Z1102C,0,0,0,0,0
2013-01-01,8C2Z1109A,405.03,2.12,405.03,3,405.03
2013-01-01,8C2Z1109B,"6,885.51",51,"6,885.51",51,"6,885.51"
2013-01-01,8C2Z1109C,"13,219.27",97,"13,813.77",101,"13,813.77"
2013-01-01,8C2Z2C026A,"8,067.57",115,"8,537.56",122,"8,537.56"
2013-01-01,8C2Z2C026B,"20,794.80",260,"21,194.70",265,"21,194.70"
2013-01-01,8C2Z2C026C,"52,771.88",578,"56,417.46",627,"56,417.46"
2013-01-01,8F9Z1104A,"7,975.73",67,"8,406.84",78,"8,406.84"
2013-01-01,8F9Z1104B,"12,267.87",102,"14,036.76",123,"14,036.76"
2013-01-01,8F9Z1104C,"13,995.50",109,"16,609.80",155,"16,609.80"
2013-01-01,8G1Z1125A,0,0,0,0,0
2013-01-01,8G1Z1125B,"7,556.64",166,"7,556.64",168,"7,556.64"
2013-01-01,8G1Z2C026A,-59.99,-1,0,0,0
2013-01-01,8G1Z2C026B,0,-2,0,0,0
2013-01-01,8L3Z1102A,"70,238.60",403,"72,501.00",429,"72,501.00"
2013-01-01,8L3Z1102B,"5,938.18",40,"6,063.90",41,"6,063.90"
2013-01-01,8L8Z1104A,"21,690.86",220,"24,058.88",254,"24,058.88"
2013-01-01,8L8Z1126BD,"1,979.13",44,"2,383.94",53,"2,383.94"
2013-01-01,8S4Z1113B,"40,475.45",609,"40,775.64",618,"40,775.64"
2013-01-01,8T1Z1126B,0,0,0,0,0
2013-01-01,8U9Z1104A,0,0,0,0,0
2013-01-01,8U9Z1125A,0,0,0,0,0
2013-01-01,8U9Z2C026A,0,0,0,0,0
2013-01-01,9C3Z2C026A,"56,531.35",929.45,"59,140.28",986,"59,140.28"
2013-01-01,9E5Z1125A,0,0,0,0,0
2013-01-01,9E5Z1125B,0,0,0,0,0
2013-01-01,9E5Z1125C,"41,036.82",907,"43,900.48",976,"43,900.48"
2013-01-01,9E5Z2C026A,0,0,0,0,0
2013-01-01,9E5Z2C026B,"62,453.20","1,756.74","66,881.76","1,912.00","66,881.76"
2013-01-01,9L3Z1104A,"30,458.01",141.58,"46,754.00",241,"46,754.00"
2013-01-01,9L3Z1104B,"-9,415.72",-55,0,0,0
2013-01-01,9L3Z1104C,229.67,1,688.98,3,688.98
2013-01-01,9L3Z1125C,"17,454.18",291,"17,574.14",293,"17,574.14"
2013-01-01,9L3Z1125D,0,0,0,0,0
2013-01-01,9L3Z2C026A,"66,551.47","1,196.00","67,735.36","1,232.00","67,735.36"
2013-01-01,9L3Z2C026B,"2,366.44",46,"2,543.04",48,"2,543.04"
2013-01-01,9S4Z1113A,"6,409.25",94,"6,732.96",104,"6,732.96"
2013-01-01,9S4Z1125A,0,-2,0,0,0
2013-01-01,9T4Z1104A,"8,876.64",67,"20,990.43",201,"20,990.43"
2013-01-01,9T4Z2C026A,0,0,0,0,0
2013-01-01,AC3Z1104B,"31,516.76",73,"32,617.60",80,"32,617.60"
2013-01-01,AC3Z1104C,"18,582.61",52,"18,885.49",53,"18,885.49"
2013-01-01,AC3Z1104D,"52,566.65",125,"57,659.19",137,"57,659.19"
2013-01-01,AC3Z1104E,0,0,0,0,0
2013-01-01,AC3Z1104F,"674,324.74","1,737.00","685,624.98","1,802.00","685,624.97"
2013-01-01,AE8Z1125A,"10,424.06",290,"11,088.66",317,"11,088.66"
2013-01-01,AE8Z1125B,0,0,0,0,0
2013-01-01,AG1Z1125A,0,-2,0,0,0
2013-01-01,AG1Z2C026A,"105,086.09","2,273.60","108,266.86","2,407.00","108,266.86"
2013-01-01,AL1Z2C026AA,-113.38,-2,0,0,0
2013-01-01,AL1Z2C026B,0,0,0,0,0
2013-01-01,AL3Z1104A,0,0,540,3,540
2013-01-01,AL3Z1125A,0,0,0,0,0
2013-01-01,AL3Z1125B,-159.84,-7,0,0,0
2013-01-01,AL5Z1102A,"6,721.38",96,"7,122.45",103,"7,122.45"
2013-01-01,AL5Z1104A,"2,517.81",10,"3,776.70",15,"3,776.70"
2013-01-01,AL5Z2C026A,"4,880.36",85,"5,758.08",96,"5,758.08"
2013-01-01,AL8Z1125A,"36,115.95",798,"37,648.26",837,"37,648.26"
2013-01-01,AS4Z1125A,"36,301.85",886,"36,701.64",918,"36,701.64"
2013-01-01,AT1Z1126A,"11,696.11",191,"11,936.02",199,"11,936.02"
2013-01-01,AV6Z2C026A,0,0,0,0,0
2013-01-01,AY1Z1125A,0,0,0,0,0
2013-01-01,B1BZ1104A,0,0,0,0,0
2013-01-01,B1BZ1104B,0,0,0,0,0
2013-01-01,BB5Z1104A,"10,059.40",167,"13,437.00",225,"13,437.00"
2013-01-01,BC2Z1102A,"66,930.66",554.06,"75,707.38",631,"75,707.38"
2013-01-01,BC2Z1102B,"51,845.47",514,"55,288.94",553,"55,288.94"
2013-01-01,BC3Z1104A,"154,993.51",461.67,"186,695.92",568,"186,695.92"
2013-01-01,BC3Z1104B,"-3,218.68",-8,349.86,1,349.86
2013-01-01,BC3Z1104C,"4,674.72",14,"5,616.29",17,"5,616.29"
2013-01-01,BC3Z1104D,"-1,719.54",-5,0,0,0
2013-01-01,BC3Z1104E,"1,754.85",4,"2,105.82",6,"2,105.82"
2013-01-01,BC3Z1109A,"5,551.09",49,"5,866.57",53,"5,866.57"
2013-01-01,BC3Z1109B,678.24,6,678.24,6,678.24
2013-01-01,BC3Z1109C,180,2,180,2,180
2013-01-01,BC3Z2C026A,"32,112.94",429,"33,366.10",445,"33,366.10"
2013-01-01,BE8Z1104A,"1,347.29",45,"1,467.06",49,"1,467.06"
2013-01-01,BE8Z1109A,"1,991.07",34,"2,400.96",41,"2,400.96"
2013-01-01,BE8Z1126A,-61.22,-2,0,0,0
2013-01-01,BE8Z1126B,430.44,17,430.44,17,430.44
2013-01-01,BL1Z1104A,0,0,0,0,0
2013-01-01,BL3Z1104A,0,0,0,0,0
2013-01-01,BL3Z1104B,0,0,0,0,0
2013-01-01,BL3Z1104C,0,0,0,0,0
2013-01-01,BL3Z1104D,0,0,0,0,0
2013-01-01,BL3Z2C026A,"4,930.37",81,"5,458.18",91,"5,458.18"
2013-01-01,BL3Z2C026B,119.96,2,119.96,2,119.96
2013-01-01,BR3Z1125A,0,0,0,0,0
2013-01-01,BT4Z1104A,"2,620.31",77,"2,858.52",84,"2,858.52"
2013-01-01,BT4Z1104B,"45,549.82",586.56,"77,142.00","1,118.00","77,142.00"
2013-01-01,BT4Z2C026A,-133.26,-2,0,0,0
2013-01-01,BT4Z2C026B,"6,090.66",152,"7,556.22",189,"7,556.22"
2013-01-01,BV6Z1104B,0,0,0,0,0
2013-01-01,BV6Z1109C,0,0,0,0,0
2013-01-01,BV6Z1125A,"6,646.22",181,"7,170.90",205,"7,170.90"
2013-01-01,BV6Z1126A,439.78,11,519.74,13,519.74
2013-01-01,BV6Z2C026A,0,0,0,0,0
2013-01-01,C1BZ1126A,0,0,0,0,0
2013-01-01,C1BZ2C026A,0,0,0,0,0
2013-01-01,CB5Z1125A,"26,666.10",442.26,"39,920.64",768,"39,920.64"
2013-01-01,CC3Z1102A,"16,656.79",145,"17,821.90",155,"17,821.90"
2013-01-01,CC3Z1102B,"16,253.12",106,"17,157.80",110,"17,157.80"
2013-01-01,CL1Z1109A,518.97,3,691.96,4,691.96
2013-01-01,CL1Z2C026A,"15,431.07",280,"15,779.26",287,"15,779.26"
2013-01-01,CL3Z1104A,"21,127.59",158,"35,034.64",262,"35,034.64"
2013-01-01,CL3Z1104B,"7,552.00",79,"12,768.00",133,"12,768.00"
2013-01-01,CL3Z1104C,"1,965.60",13,"2,570.40",17,"2,570.40"
2013-01-01,CL3Z1104D,"-1,097.98",-4,0,0,0
2013-01-01,CL3Z1104E,0,0,0,0,0
2013-01-01,CL3Z1104F,0,0,0,0,0
2013-01-01,CL3Z1104G,369.92,2,369.92,2,369.92
2013-01-01,CL3Z1104H,"3,817.00",20,"5,725.50",30,"5,725.50"
2013-01-01,CL3Z1125A,659.78,11,659.78,11,659.78
2013-01-01,CL3Z1125B,"92,857.87","1,506.50","102,865.70","1,715.00","102,865.70"
2013-01-01,CL3Z2C026A,299.9,5,299.9,5,299.9
2013-01-01,CL3Z2C026B,299.88,6,299.88,6,299.88
2013-01-01,CL3Z2C026C,"3,118.98",52,"3,898.70",65,"3,898.70"
2013-01-01,CL3Z2C026D,0,0,0,0,0
2013-01-01,CR3Z1125B,"1,559.48",24,"1,559.48",26,"1,559.48"
2013-01-01,CR3Z1125C,"1,259.58",21,"1,259.58",21,"1,259.58"
2013-01-01,CU9Z1102A,0,0,0,0,0
2013-01-01,CV6Z1104A,"2,520.00",84,"3,240.00",108,"3,240.00"
2013-01-01,CV6Z1104D,"1,221.00",37,"1,221.00",37,"1,221.00"
2013-01-01,CV6Z1104F,818.09,13,818.09,13,818.09
2013-01-01,CV6Z1104G,-53.49,-1,0,0,0
2013-01-01,CV6Z1104H,579.36,12,724.2,15,724.2
2013-01-01,CV6Z1109A,"6,721.85",99,"13,847.32",206,"13,847.32"
2013-01-01,CV6Z1109B,"1,275.00",17,"1,875.00",25,"1,875.00"
2013-01-01,CV6Z1109C,0,0,0,0,0
2013-01-01,CV6Z1125A,439.78,11,439.78,11,439.78
2013-01-01,CV6Z1125B,879.57,22,"1,039.48",26,"1,039.48"
2013-01-01,CV6Z1126A,519.74,13,519.74,13,519.74
2013-01-01,CV6Z2C026A,"1,853.95",53,"2,028.84",58,"2,028.84"
2013-01-01,CV6Z2C026B,839.58,21,919.54,23,919.54
2013-01-01,DC3Z1102B,"1,570.92",13,"1,570.92",13,"1,570.92"
2013-01-01,DC3Z1102C,"2,081.43",13,"2,081.43",13,"2,081.43"
2013-01-01,DC3Z1104A,0,0,0,0,0
2013-01-01,DC3Z1104B,0,0,0,0,0
2013-01-01,DC3Z1104C,0,0,0,0,0
2013-01-01,DC3Z1104D,0,0,0,0,0
2013-01-01,DC3Z1104E,0,0,0,0,0
2013-01-01,DC3Z1125A,"1,999.50",25,"2,159.46",27,"2,159.46"
2013-01-01,DC3Z2C026A,"2,079.48",26,"2,079.48",26,"2,079.48"
2013-01-01,DC3Z2C026B,"2,666.00",34,"2,799.30",35,"2,799.30"
2013-01-01,DCPZ1104A,136.41,3,136.41,3,136.41
2013-01-01,DE9Z1104A,0,0,0,0,0
2013-01-01,DE9Z1104B,0.01,0,413.79,3,413.79
2013-01-01,DE9Z1104C,0,0,0,0,0
2013-01-01,DE9Z2C026A,256,2,256,2,256
2013-01-01,DG1Z1125B,0,0,0,0,0
2013-01-01,DG1Z1125C,"11,822.00",239,"12,141.20",239,"11,822.00"
2013-01-01,DG1Z2C026A,"5,317.34",133,"5,517.24",138,"5,517.24"
2013-01-01,DG9Z1104A,581.8,10,581.8,10,581.8
2013-01-01,DG9Z1104B,"1,177.21",20,"1,294.92",22,"1,294.92"
2013-01-01,DG9Z1104C,0,0,0,0,0
2013-01-01,DG9Z1104D,0,0,0,0,0
2013-01-01,DG9Z1125A,"1,649.34",33,"1,649.34",33,"1,649.34"
2013-01-01,DG9Z1125B,99.96,2,99.96,2,99.96
2013-01-01,DG9Z2C026A,"1,649.34",33,"1,649.34",33,"1,649.34"
2013-01-01,DG9Z2C026B,99.96,2,99.96,2,99.96
2013-01-01,DL1Z1104A,"3,286.81",19,"3,286.81",19,"3,286.81"
2013-01-01,DR3Z1125A,412.24,4,412.24,4,412.24
2013-01-01,DR3Z1125B,119.96,2,119.96,2,119.96
2013-01-01,DR3Z1125C,"2,548.98",51,"2,648.94",53,"2,648.94"
2013-01-01,DR3Z2C026A,"1,149.88",17,"1,149.88",17,"1,149.88"
2013-01-01,DV6Z1104A,0,0,0,0,0
2013-01-01,DV6Z2C026A,0,0,0,0,0
2013-01-01,E9HZ1126A,256.19,1,256.19,1,256.19
2013-01-01,F1CZ1104A,247.2,5,247.2,5,247.2
2013-01-01,F1CZ1104B,60,1,60,1,60
2013-01-01,F2HZ1125B,0,0,0,0,0
2013-01-01,F3SZ1109A,"2,975.00",35,"2,975.00",35,"2,975.00"
2013-01-01,F4HZ1109D,985.53,3,985.53,3,985.53
2013-01-01,F4HZ1125A,600,4,600,4,600
2013-01-01,F4HZ1125C,"1,485.00",9,"1,485.00",9,"1,485.00"
2013-01-01,F4TZ1109A,"6,600.00",30,"6,600.00",30,"6,600.00"
2013-01-01,F4UZ1102B,0,0,0,0,0
2013-01-01,F4ZZ2C026B,458.1,6,458.1,6,458.1
2013-01-01,F58Z1126B,188.94,3,239.92,4,239.92
2013-01-01,F5RZ1104A,414,6,414,6,414
2013-01-01,F5RZ1104B,0,0,0,0,0
2013-01-01,F5TZ2C026A,"1,199.20",40,"1,199.20",40,"1,199.20"
2013-01-01,F67Z1125BA,989.56,22,989.56,22,989.56
2013-01-01,F68Z1104AA,920.5,13,980,14,980
2013-01-01,F6SZ1104BA,573.43,8,633.24,9,633.24
2013-01-01,F6UZ2C026AA,"18,080.42",201,"18,625.86",207,"18,625.86"
2013-01-01,F78Z1104AA,348.4,5,348.4,5,348.4
2013-01-01,F7AZ1104AC,"1,046.78",16,"1,155.96",18,"1,155.96"
2013-01-01,F81Z1102BA,"4,069.26",37,"4,069.26",37,"4,069.26"
2013-01-01,F81Z1102DB,"6,420.98",37,"6,420.98",37,"6,420.98"
2013-01-01,F81Z1104AD,488.5,2,488.5,2,488.5
2013-01-01,F81Z1104BH,"174,067.93",590,"178,350.72",608,"178,350.72"
2013-01-01,F81Z1104CH,0,0,0,0,0
2013-01-01,F81Z1104DG,"9,405.00",33,"9,405.00",33,"9,405.00"
2013-01-01,F81Z1104EC,0,0,0,0,0
2013-01-01,F81Z1109DA,"5,293.44",32,"5,293.44",32,"5,293.44"
2013-01-01,F81Z1109EB,"5,962.73",28,"6,142.78",29,"6,142.78"
2013-01-01,F81Z1125AA,0,0,0,0,0
2013-01-01,F81Z1125AB,0,0,0,0,0
2013-01-01,F81Z1125BA,806.48,8,806.48,8,806.48
2013-01-01,F81Z1125DA,"31,791.52",424,"31,941.48",426,"31,941.48"
2013-01-01,F81Z2C026AA,"21,865.14",243,"21,865.14",243,"21,865.14"
2013-01-01,F81Z2C026EA,"10,797.30",135,"10,877.28",136,"10,877.28"
2013-01-01,F87Z1104AB,0,0,0,0,0
2013-01-01,F87Z1104BB,0,0,0,0,0
2013-01-01,F87Z1104CA,"40,815.00",249,"41,304.78",253,"41,304.78"
2013-01-01,F87Z1126BA,209.88,6,209.88,6,209.88
2013-01-01,F8AZ1104AA,"1,633.00",23,"1,633.00",23,"1,633.00"
2013-01-01,F8UZ1102AB,"24,396.51",244,"28,094.38",281,"28,094.38"
2013-01-01,F8UZ1102CA,"53,632.21",386,"60,809.25",445,"60,809.25"
2013-01-01,F8VZ1125AA,"1,567.68",24,"1,567.68",24,"1,567.68"
2013-01-01,F8ZZ2C026AA,902.58,21,902.58,21,902.58
2013-01-01,XC2Z1126AA,179.94,3,179.94,3,179.94
2013-01-01,XC2Z2C026AA,"20,005.84",250,"21,354.66",267,"21,354.66"
2013-01-01,XC2Z2C026BB,"6,831.72",80,"6,968.36",82,"6,968.36"
2013-01-01,XF5Z1104AA,"1,144.08",7,"1,144.08",7,"1,144.08"
2013-01-01,XF5Z1125AA,269.88,6,269.88,6,269.88
2013-01-01,XF5Z1126AA,0,0,0,0,0
2013-01-01,XL1Z1102AF,0,0,0,0,0
2013-01-01,XL1Z1104AE,"2,340.00",9,"2,340.00",9,"2,340.00"
2013-01-01,XL1Z1125AA,79.54,1,79.54,1,79.54
2013-01-01,XL3Z1102EC,728.76,12,779.74,13,779.74
2013-01-01,XL3Z1104AD,"3,138.02",15,"3,521.21",17,"3,521.21"
2013-01-01,XL3Z1104BC,"1,101.94",7,"1,101.94",7,"1,101.94"
2013-01-01,XL3Z1125BA,0,0,0,0,0
2013-01-01,XL3Z1125CB,"5,532.54",123,"5,532.54",123,"5,532.54"
2013-01-01,XL5Z1104A,"6,088.79",23,"6,088.79",23,"6,088.79"
2013-01-01,XL5Z1104B,"2,008.80",9,"2,008.80",9,"2,008.80"
2013-01-01,XR3Z1125BC,"1,396.89",11,"1,396.89",11,"1,396.89"
2013-01-01,XW4Z1109AA,0,0,0,0,0
2013-01-01,XW4Z1125AA,292.3,5,292.3,5,292.3
2013-01-01,XW4Z2C026AA,99.96,2,99.96,2,99.96
